date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:49:32	425461/425461	---M--	200	added ('OK')	image/jpeg	etag:%22c0c3dcd-67df5-5a480e6940553%22	http://badlapurseva.com/56/mywings/wp-content/uploads/2020/04/DancingButterflyText-925x925-1.jpg	F:/New%20folder/Mywings/badlapurseva.com/56/mywings/wp-content/uploads/2020/04/DancingButterflyText-925x925-1.jpg	(from http://badlapurseva.com/56/mywings/)
17:49:50	484167/484167	---M--	200	added ('OK')	image/jpeg	etag:%22c0c3dd2-76347-5a480e7298b0b%22	http://badlapurseva.com/56/mywings/wp-content/uploads/2020/04/happy-girl-pic.jpg	F:/New%20folder/Mywings/badlapurseva.com/56/mywings/wp-content/uploads/2020/04/happy-girl-pic.jpg	(from http://badlapurseva.com/56/mywings/)
17:50:27	775620/775620	---M--	200	added ('OK')	image/jpeg	etag:%22c0c3dc8-bd5c4-5a480e5fd8d6a%22	http://badlapurseva.com/56/mywings/wp-content/uploads/2020/04/DancingButterflyPerson2.jpg	F:/New%20folder/Mywings/badlapurseva.com/56/mywings/wp-content/uploads/2020/04/DancingButterflyPerson2.jpg	(from http://badlapurseva.com/56/mywings/)
17:50:43	567620/567620	---M--	200	added ('OK')	image/jpeg	etag:%22c0c3dd8-8a944-5a480e7dbdbee%22	http://badlapurseva.com/56/mywings/wp-content/uploads/2020/04/HeaderPojke2-1.jpg	F:/New%20folder/Mywings/badlapurseva.com/56/mywings/wp-content/uploads/2020/04/HeaderPojke2-1.jpg	(from http://badlapurseva.com/56/mywings/)
17:51:00	435185/435185	---M--	200	added ('OK')	image/jpeg	etag:%22c0c3db9-6a3f1-5a480e368cb67%22	http://badlapurseva.com/56/mywings/wp-content/uploads/2020/04/banner-1024x471-1.jpg	F:/New%20folder/Mywings/badlapurseva.com/56/mywings/wp-content/uploads/2020/04/banner-1024x471-1.jpg	(from http://badlapurseva.com/56/mywings/)
17:51:06	579871/579871	---M--	200	added ('OK')	image/jpeg	etag:%22c0c3dde-8d91f-5a480e8a3bc67%22	http://badlapurseva.com/56/mywings/wp-content/uploads/2020/04/JungleButterflyLive.jpg	F:/New%20folder/Mywings/badlapurseva.com/56/mywings/wp-content/uploads/2020/04/JungleButterflyLive.jpg	(from http://badlapurseva.com/56/mywings/)
17:51:06	33405/33405	---M--	200	added ('OK')	image/png	etag:%22c0c3480-827d-5a48156037caf%22	http://badlapurseva.com/56/mywings/wp-content/uploads/2020/04/100cotton.png	F:/New%20folder/Mywings/badlapurseva.com/56/mywings/wp-content/uploads/2020/04/100cotton.png	(from http://badlapurseva.com/56/mywings/)
17:51:13	46074/46074	---M--	200	added ('OK')	image/png	etag:%22c0c3dff-b3fa-5a4815631ff10%22	http://badlapurseva.com/56/mywings/wp-content/uploads/2020/04/fair-trade.png	F:/New%20folder/Mywings/badlapurseva.com/56/mywings/wp-content/uploads/2020/04/fair-trade.png	(from http://badlapurseva.com/56/mywings/)
17:51:14	45014/45014	---M--	200	added ('OK')	image/png	etag:%22c0c3e03-afd6-5a481565dc24f%22	http://badlapurseva.com/56/mywings/wp-content/uploads/2020/04/machine-washable.png	F:/New%20folder/Mywings/badlapurseva.com/56/mywings/wp-content/uploads/2020/04/machine-washable.png	(from http://badlapurseva.com/56/mywings/)
17:51:29	90496/90496	---M--	200	added ('OK')	image/jpeg	etag:%22c0c3da1-16180-5a4829c1bfeb9%22	http://badlapurseva.com/56/mywings/wp-content/uploads/2020/04/GiftOfWingsContent.jpg	F:/New%20folder/Mywings/badlapurseva.com/56/mywings/wp-content/uploads/2020/04/GiftOfWingsContent.jpg	(from http://badlapurseva.com/56/mywings/)
